call_key,evaluation_score
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgKD1_umZCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,42
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgKDhzquECwyiARNvYmlsZXQuYWxvLXRlY2guY29t,77
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgKCptvK3CwyiARNvYmlsZXQuYWxvLXRlY2guY29t,65
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgKCFgdqdCgyiARNvYmlsZXQuYWxvLXRlY2guY29t,82
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgKDhvIupCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgKDh7tqwCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,85
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgKDhuOrCCgyiARNvYmlsZXQuYWxvLXRlY2guY29t,85
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgJiRjO_8CAyiARNvYmlsZXQuYWxvLXRlY2guY29t,80
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgNjshafMCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,95
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgJj789PMCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,85
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgNji3KGtCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgNilwK-CCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgOi8mLiOCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,65
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgOjcgLTWCgyiARNvYmlsZXQuYWxvLXRlY2guY29t,70
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgOjMkZ_hCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,95
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgOi_05vPCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,60
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgNjO77PtCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,80
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgOjiv83aCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,70
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgJjr9pH8CQyiARNvYmlsZXQuYWxvLXRlY2guY29t,55
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgJia7q2BCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,30
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgLjq_82LCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,70
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgLimlKuACQyiARNvYmlsZXQuYWxvLXRlY2guY29t,49
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgIS8prGVCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,95
